,review
0,"Won't take much of your time so I'll dive right in to the review. Comfort wise they are perfect. At least for my ears but I'm pretty sure it'll fit most of you out there. The earphones are made of plastic shells which look sturdy and can resist your usual wear and tear. The cable is also of the decent quality. But none of the things are the selling point of these headphones. KZ promises audio quality and delivers it! These are not your usual ear candy earphones like boat, sony, redmi, realme, etc and if you prefer that sound signature don't buy it. But if you prefer a clean audio with tight bass airy highs these are the headphones for you. The miss are also present but a bit laid back in the mix. I'd rather call them U shaped rather than V shaped. It lets you hear little details in your music you've never heard before. All in all of you want a balanced headphones these should be my pick and I've used literally every earphone under 2k price braket including rha ma390, soundmagic e10c, 1more piston, ath clr100, cx275s and many more and none of them even come close to what sound quality which these provide."
1,"I bought kz zstx qnd wrote review that buds are not that great. To my surprise i recieved comply foam tips for free.
What kind of hospitality is this. I have bought a lot of stuff from several so called e com giants. But i never received any reply even from sellers. Now comes this great website headphone zone. Just with a review they sent me free earbuds. Its still unbelievable for me. Headphone zone. You're the best . And I'm really very very very satisfied now. Thank you Raghav. Your amazing"
2,"Don't let it's neon colours, bad English in it's instruction booklet, etc deceive you, it's a great pair of headphones, I used it with the comply tips which I bought extra, never used the silicon gel tips that came with it. 
The fit is good, the loop keeps the earphone from falling off. It's a snug fit. 
I could hear a lot more song details that my JBL T210 missed.
I used with with my Moto G5s plus, it suits the phone perfectly as a headset with no microphone combatability issues that I faced with my Sony XB 55ap but for me the microphone is poorly placed, it's just above my chest. The microphone is not sensitive enough to take up conversation like the similarly microphone placed skullcandy headsets. The wires are thick weaved ones covered by transparent plastic cases with copperish wires inside. They do feel a bit rugged, will only know it's quality in time. 
Also I feel my phone is underpowered to run these headsets, coz when we plug these to a laptop. We're gonna get some serious outputs from these."
3,"Got these recently from Headphonezone and I have only one word, fantastic!
These headphones may very well be the reason as to why I would never buy a phone without a 3.5 mm jack.
Cheers!"
4,"Thanks to Headphone zone for there honest review and timely delivery.. one of the best reviewer of ep's and hp's.  The kz-zst is one of the best sounding earphones in this price range. Trust me u will not get a better option at this price.. have used more than 15 earphones across all brands but this came in as a surprise.. have extensive research I bought this ep's the Bass and trebel is good... close to balance sound..Also you will be able to hear the small details in the sound signature.which will keep you wondering and will make you go crazy... noise isolation is good..the quality of the earphones are good including the wire but it gets tangled soon.. must watch hd moves very effective while you are watching hd movies
Buy it you will not regret it.. 
Amazing sound 
Details are good
Best buy for your money
Go ahead and order it..
Enjoy ur music the way you love it.. Cheers"
5,"This is my first IEM and it exceeded my expectations. After going through several online reviews I decided to go for ZSTx over Shure SE215, I was not doing wrong. This is just mindblowing. 

Build quality is good, not the best. Made of plastic, the writings on the bottom are slowly fading away after a month's usage. Cable is super flexible and it flexes like a chain, it makes it super tagly. This is the biggest con for me. Everytime I find it tangled when I take out of the case, always a take a minute or two to untagle. 
This IEM fits in my ears very well, it won't fall off as the cable hooks into the ears very well. 
I don't use earphones for calls, but this one has a mic, which is useful if you have the habit of using earphones as your phone's mic. 
Sound  :  
            I am not an audiophile or an expert, I'm just writing what I felt like, My previous headphones were, old Sony MDR cassette walkman headsets, Earpods, Beats Studio Monster, ATH M50X  etc. I've also used Airpods and few JBL, panasonic, Xiaomi headsets. ZSTx is the latest addition to my list. This beats every other models I've ever used. The sound is incredible. I'm using a Redmi Note 7S and a high end gaming PC as my primary audio sources. I've tested this with Mac book pro as well. 
I'm using Poweramp on the phone, with the EQ modded this sounds incredible, with the Mac this was even better without tweaking the EQ. Everything is well detailed,  instrument seperation is very good, sound stage is wide.
  Even though it's mentioned as a V shaped sound, I feel it's bright sounding. Trebles are sparkly and crystal clear. I could hear a lot of stuff which I weren't noticing before with my other headsets. Thanks to the BA drivers.
Mids are clear and good,  
I don't recommed this for bassheads. having said that, there is enough bass and it's punchy, won't dissappoint. 
Overall this IEM is an incredible value for money. Decent build quality, exceptional sound which is super rare at this price point. Actually it's better than many higher priced models. 
Highly recommended."
6,"Having used Fiio F1 earphones before, I had a positive perception of Chinese brands - you get what you pay for, and more, if you pay for the right thing.
So I went for the KZ KST after reading extensively about them online. The KST sound brilliant. I've paired them with my Cowon Plenue D and some of the BBE EQ sound fantastic with these. I also own the Audio-Technica ATH-M50x and while they lean towards a warmer sound, these are more neutral and I can hear details I can't even hear with my Rs 9000 headphones. The bass isn't too good, it sounds a bit thumpy if you really push it with the EQ but that is clearly not the USP of these earphones. For the lower frequencies the M50x have a clear upper hand, but for the detail, its KST all the way.
Another thing of note is that I've NEVER been comfortable with earphones in my ears before - until now! I've been through several pairs of Sennheisers, the Fiio, Sony, Creative earphones but I ALWAYS had ear ache after 20+ minutes of listening. Not so with the KST - they are very comfortable right out of the box.
All in all, staggering value for money.
P.S. I was tempted to think funky and got the candy coloured pair, but now I think black would've been a better choice."
7,Can't bargain for more. You get a 2 driver iem for this low price and more could you expect. Just amazing. I love the feel and comfort they provide. You also get a real nice braided detachable cable. Perfect for everyday use. I just replaced the stock ear tips with Comply Foam tips. Bingo!  That's all you got to do.
8,"Let’s start with the built quality, built quality is ok not very premium but for the price you can’t complain, sound is good V snapped sound signature , it is good for budget phones it worked perfectly on Samsung a50 but when I used it on apple devices iPhone and iPad it worked perfectly till 70% volume but started to fall apart and sound started to crack after 70 on apple devices.
    If someone is looking for a good hybrid earphones under 2k for a budget phone this won’t disappoint."
9,"yeah, buy this. its good"
10,"Being an audio engineer, I have properly used and tested a plethora of earphones and headphones! I was in need for a good IEM, One of colleague suggested to go for the ZSTx; hence I ordered it right away after looking at the affordable pricetag! The shipping was quick and secured. And when I plugged them! BOOM! I was blown away by the result. I have used much expensive earphones before, But I never felt that it costs less than 2k! Just amazing. Highly recommended to get you started!"
11,"It was delivered in time and in perfect condition. Kudos to hz for that.
    Now coming to the iem, they sound much better than my sennheiser cx street II and are also built very well. I'm just a casual listner and i needed something better than my sennheiser. So in that regard, these KZs are decent upgrade. Enough bass, great stereo separation, nice highs but can get lil harsh sometimes. Sound stage and mids are definitely better than cx ii."
12,"Delivery was quick, took just one day.
    The earphones are awesome for the money, great sounding combined with memory form ear tips and fiio amp.
    For the money the earphones are just a steal. 
    initially the fitment in my ear was not that great, used large ear tip and replaced it with form tips, things improved, great sound reproduction.."
13,"Well what can I say, I was sitting there on my balcony admiring the beauty of God's creation as my eyes drifted towards the sunkissed hills that lay beyond, I decided to play some songs to soundtrack the view and took these earphones out.
Well although I had tried these earphones earlier and was somewhat impressed by their clarity, the moment the song 'Into the Mystery' by NEEDTOBREATHE popped up playing I started getting goosebumps... The harmonies were so well set and the soundstage was pleasantly surprising.
The bass sounds much more precise compared to any earphone I had ever tried, I've mostly used Sony xtra bass earphones all my life so I wanted to abandon that bass heavy ship and swim towards clearer waters.
The clarity in these earphones is such a welcoming sound compared to the muddy bass that I had been so used to... And I'm so glad I bought these.
I also am so grateful to the headphonezone team who were really professional in handling the order from the moment I placed then till the moment they arrived. Thanks to the team!
God bless ya'all
And to anyone reading:
John 3:16
:)"
14,I'm not received any item from Blue dart courier. How can u generate this mail
15,"I love them,
    The sound is so clear 
    They seem to be durable
    Value for money"
16,"Summary : very good.
Play : had high expectations from the reviews. so immediately after unboxing, applied kumkum on candy-buds and cable! and sure enough they did not disappoint.
Rewind : so 3 weeks ago, after youtube research, i ordered realme buds air 2 TWS, as a replacement for OP bullets 2 wireless. decent. but within 3 days of use, the mic stopped working! still awaiting replacement. on further youtube digging, hit upon 'best earphones under 2000' vid by HZ. serendipity for layman like me who hitherto did not know about HZ. after more research on budget pieces; shortlisted kz zsn pro; but while drooling on HZ for some days, the zsn pro sold out; so ordered zst x before they could dry up.
Forward : after the kumkum, fried these earphones for some hours; and could not wait to pen a review.  liked them very much for my taste of music, which is carnatic fusion, devotional and bollywood. for a layman coming from wired and wireless products of oneplus, boat, jbl, sony and the trusted 15 year old creative ep630 (yes, it still plays), zst x was a good step up.
Notes (punn intended) : dunno if its the 40yrs or just me, but it took 2 hours for proper assembly and plugging in. imagine i used mobile camera to zoom in on the tiny pics in manual to identify L & R and proper in-ear position of candy-buds! naive but reality. L size eartips worked best. ordering with mic was right; in future will help me identify R and L ! cable thin, tangly, vulnerable and candy-buds slippery, imo. no discomfort with in-ear fit for 3+ hours at stretch. 
apple music & jiosaavn from iphoneSE2017, oneplus7 (with typeC to 3.5mm of OP) sound very good. likewise from laptop itunes. separation of instruments is discernable. vocal is crisp but maybe tiny bit subdued by instruments. bass is to my liking viz. just right, no boost no extra. the shimmer of treble also feels right. all this at volume less than 30%! quite good. iam under-qualified to comment on sound sign, frequency response and such, but easily a thumbs up for this zst x. as a bonus, it works well for WFH calls, thanks to the correct mic position.
Pause : absolute VFM. thanks & cheers to HZ ! hope you found my 2 cents helpful.
endaro mahanubhavulu, antareekee vandanamulu!"
17,I bought this earphones for playing fps game. And i am not able to play. The directions hearing are awkward. Please make a return. I got the product 2 days back. I am a genuine customer of headphone zone. I have Bought an earphone before also. So please make a return
18,Good
19,Love them!
20,"Quality of the material:  Good quality buds but the texture of the cable is little irritating
Cable: Round and Sturdy. Does not get tangled easily but feels weird. The cable needs to be attached to the ear buds thru small pins. 
Comfort: Ear buds are comfy and they fit securely in your ears however the L and R markings are not easy to locate. Moreover the cable passes around your ear and is little irritating as the cable touches your skin (around your ear). So wearing these buds is a small task itself.
Sound Clarity: AWESOME!!!!!!!!!! 
Bass: Deep and Punchy
Sound stage: AWESOME!!!!!!!"
21,"After using stuff like CX180 for a few years, i decided to go with something different and this seemed to be one of the best intro IEMs available. So i decided to go with this and here's my take after a week of usage -
PROS
1. The highs and mids are quite clear & well defined (because of the BA driver).
2. To put it on and off is something that is a bit difficult for those who are not used to it but once you put it on, it sits firmly and does not cause any pain.
3. Even after prolonged usage (around 4 to 5 hours) i didn't face any discomfort. With my previous earphones, i used to develop quick ear fatigue.
4. This piece is not for people who expect a ""thumping"" ""boomy"" bass sound, the bass is just enough for me because i don't like sound to be very bass dominant.
CONS
5. The cable looks a bit flimsy imo, hope it lasts for sometime at least.
6. The mic quality (though it is decent) could've been improved."
